Year,Marriages,Population,MRateper1kpop
2017,"2,236,496","325,719,178",6.9
2016,"2,251,411","323,127,513",7
2015,"2,221,579","321,418,820",6.9
2014,"2,140,272","308,759,713",6.9
2013,"2,081,301","306,136,672",6.8
2012,"2,131,000","313,914,040",6.8
2011,"2,118,000","311,591,917",6.8
2010,"2,096,000","308,745,538",6.8
2009,"2,080,000","306,771,529",6.8
2008,"2,157,000","304,093,966",7.1
2007,"2,197,000","301,231,207",7.3
2006,"2,193,000","294,077,247",7.5
2005,"2,249,000","295,516,599",7.6
2004,"2,279,000","292,805,298",7.8
2003,"2,245,000","290,107,933",7.7
2002,"2,290,000","287,625,193",8
2001,"2,326,000","284,968,955",8.2
2000,"2,315,000","281,421,906",8.2
